Aafke
Ceci
Cecile
Celeste
Celine
Cellistine
Ceylin
Chaja
Chanel
Chao
Charlie
Charu
Chava
Chibi
Chireny
Chloe
Chrisje
Christa
Cicely
Cilia
Cilla
Cilou
Cisca
Cita
Claartje
Claire
Clara
Clarisse
Clary
Claudia
Clea
Cleo
Coby
Coco
Colette
Colinda
Coos
Coosje
Cor
Cora
Cornelieke
Curille
Cynthia
Cécilia
Daantje
Dagmar
Dalenne
Dana
Danae
Dani
Daniek
Danique
Daniëlle
Dané
Daphne
Date
Davida
Deborah
Deenie
Delphine
Demi
Denise
Dessa
Detje
Deva
Dewi
Didy
Diede
Dieneke
Dienke
Dieuwertje
Dimphy
Dineke
Dionne
Dirckje
Dirkje
Dirre
Ditte
Diva
Doeschka
Dokus
Dominique
Door
Doortje
Dorende
Dores
Dorethé
Doris
Dorith
Dorothea
Dot
Dottie
Dounia
Dounja
Doutzen
Duffy
Dwarka
Dymphy
Edie
Edmée
Eef
Eefje
Eefke
Effie
Egi
Ela
Elea
Electra
Elena
Eleonora
Elesta
Elf
Eliane
Elieke
Elin
Eline
Elisa
Elise
Elke
Ella
Elleke
Ellemieke
Ellemijn
Ellen
Ellerijn
Elles
Ellineke
Ellis
Elly
Elmi
Elodie
Eloise
Elsa / Elza
Elsanne
Elsbeth
Else
Elselien
Elsemiek
Elsemieke
Elske
Elzelien
Em
Emae
Emanuelle
Emi
Emily
Emma
Emmarie
Emmeke
Emmelieke
Emmelien
Emy
Enith
Era
Esmee
Esra
Estee
Esther
Eva
Evangeline
Evelien
Evelijn
Evelina
Evi
Evie
Fabienne
Fae
Faline
Famke
Faquita
Fara
Fardau
Fay
Faye
Fee
Felin
Fem
Femi
Femke
Fenna
Fenne
Fenneke
Fiebe
Fieke
Fien
Fiene
Fientje
Fiep
Fiet
Filippa
Finelie
Fiona
Fiore
Fleur
Fleurtje
Flin
Flo
Floor
Floortje
Flore
Florence
Floresté
Florice
Florieke
Florine
Fran
Francine
Francis
Frauke
Frederike
Fredérique
Frenchy
Freya
Frida
Froukje
Féliz
Gabi
Gabriëlle
Gaby
Gaia
Gayatri
Geena
Geerke
Geerte
Geertje
Geertrui
Geertruida
Geesje
Geeske
Geneviéve
Geraldine
Gerjanne
Gerrieke
Gerrita
Gezina
Gijsje
Gilia
Gina
Gineke
Ginger
Ginie
Gioia
Gisela
Giselle
Gitta
Gitte
Gladys
Godelieve
Goedele
Goeleke
Golda
Grace
Greetje
Greta
Griet
Grietje
Guusje
Gwen
Gwendoline
Gwenne
Hailey
Halo
Hannah
Hanne
Hanneke
Hansje
Harleen
Harmke
Harper
Harriette
Hasse
Hauke
Haura
Hava
Havy
Hayat
Hayley
Hazel
Hazle
Hea
Heaven
Hedwich
Hedwig
Heida
Heidi
Heike
Heintje
Heleen
Hella
Hendrieke
Hendrika
Hendrikje
Hendrina
Hera
Hester
Hetty
Hilde
Hildegard
Hilgard
Hilke
Hilletje
Hilly
Hiske
Holly
Honey
Honour
Horacia
Houkje
Hulde
Hyke
Héléna
Ida
Ieke
Iemkje
Ilja
Ilona
Ilse
Imca
Imke
Inde
Indra
Indy
Ineke
Ines
Inge
Ingeborg
Ingelise
Inia
Inky
Irine
Iris
Irma
Irmgard
Isa
Isabeau
Isabella
Ise
Isis
Isolde
Itske
Ivana
Ivon
Ivy
Izem
Izzy
Jace
Jackie
Jacobien
Jacolien
Jacoliene
Jacomijn
Jade
Jana
Jane-Linn
Janea
Janienke
Janne
Janneke
Jannieke
Jans
Janske
Jantien
Jantina
Jara
Jasmijn
Jasmin
Jaylinn
Jaynine
Jazmin
Jeanne
Jefta
Jeldau
Jenneke
Jenoa
Jente
Jeske
Jess
Jessie
Jet
Jetse
Jetta
Jette
Jezzebelle
Jikke
Jill
Jille
Jinthe
Jip
Jiske
Jitske
Jitte
Jo-Anne
Jobke
Jody
Johanna
Johanneke
Jojanneke
Jojo
Joke
Jolet
Jolie
Jolieke
Jolien
Jolijn
Jonneke
Joo
Jools
Joosje
Jooske
Jorie
Jorieke
Jos
Josefien
Josepha
Josine
Josje
Jouke
Joy
Joya
Joyann
Joyce
Juanita
Judith
Jule
Julia
Julie
Julinde
Julinn
Juliënne
Juliëtte
June
Juno
Juulke
Juultje
Kaat
Kaate
Kaatje
Kady
Kaeley
Kaia
Kalie
Kara
Karen
Karina
Karlien
Karlijn
Kate
Katelijn
Katniss
Kato
Katrien
Katrijn
Kaya
Kayla
Kaylee
Kaylen
Kaylinn
Keesie
Keet
Keetje
Keisha
Keja
Kelly
Kelsey
Kendra
Kennedy
Kensi
Kerstin
Khloé
Kia
Kiara
Kickel
Kiek
Kiekie
Kiki
Kim
Kimber
Kimberley
Kimé
Kirsten
Kjenta
Klaartje
Klaasje
Klaske
Klazina
Koosje
Kourtney
Kris
Krisje
Kristie
Kristien
Kyara
Kylie
Kyra
Lana
Lara
Lauke
Laura
Lauren
Laurie
Laurien
Layla
Lea
Leah
Leandra
Leentje
Lena
Lenneke
Lenore
Lente
Leoba
Leonieke
Leontien
Leslie
Letje
Lette
Lexi
Lia
Liane
Lianne
Lida
Lidewij
Lidia
Lieke
Liene
Lieneke
Lienke
Lies
Liesbeth
Liese
Lieske
Lieve
Lieveke
Liliane
Lilianne
Lilly
Limare
Lina
Linde
Lineke
Linn
Linneke
Lis
Lisa
Lisa-Marie
Lise
Lisea
Liselot
Lissy
Lita
Liv
Liva
Livay
Livia
Liz
Liza
Lize
Lizee
Lizet
Lizz
Lizzy
Loalis
Loe
Loekie
Loes
Loesje
Loga
Lois
Loiza
Lola
Lolly
Lolo
Lolu
London
Lonne
Lonneke
Lore
Lorelay
Loren
Lori
Lorijn
Lotje
Lotte
Lotus
Lou
Loua
Louise
Loukie
Loulou
Lovie
Lowieke
Luana
Lucie
Lucy
Lula
Lulu
Lumen
Lumi
Luna
Luus
Lux
Lydia
Lydie
Lymée
Lynn
Lysbet
Lyse
Lyssa
Léona
Maaike
Maan
Maartje
Maayke
Machteld
Madeleine
Madelief
Madelien
Madelon
Mae
Maecy
Maerle
Magdalena
Maie
Maike
Maja
Malak
Malin
Malinda
Mallory
Malou
Mare
Mareike
Maren
Margje
Margo
Margot
Margreet
Margriet
Maria
Maribel
Marie
Marieke
Marietje
Marij
Marija
Marije
Marijke
Marijne
Marijntje
Marijse
Marike
Marinke
Marit
Marité
Marjella
Marjet
Marjolein
Marjoleine
Marjolijn
Marjonne
Marley
Marlieke
Marlien
Marlies
Marlijn
Marlijne
Marloe
Marloeke
Marloes
Marlotte
Marni
Marrigje
Marthe
Martine
Martje
Marysa
Maryse
Mascha
Mathilde
Matilda
Matise
Matje
Maud
Maureen
Max
Maxe
May
Maya
Mayke
Mayra
Mechi
Mechteld
Megan
Meike
Meinke
Merel
Merete
Merit
Merle
Metje
Mette
Michelle
Michonne
Mickey
Miek
Mieke
Miep
Mies
Miesje
Mignon
Mijntje
Mikky
Mila
Millie
Milou
Mimi
Minke
Minth
Mirla
Mirre
Mirte
Mitzi
Mitzy
Mona
Moon
Mouna
Myra
Myrthe
Myrtille
Nadya
Naeva
Nanda
Nanet
Nanna
Naomi
Naouel
Naëma
Neele
Neeltje
Nele
Nelke
Nella
Nelleke
Nicky
Nicole
Nieke
Niene
Nienke
Nikki
Nimfa
Nina
Nine
Ninette
Ninke
Ninte
Niqui
Noa
Noani
Nola
Noleste
Noor
Noortje
Nora
Nore
Norna
Novèn
Noëmi
Noï
Nya
Nynke
Néla
Oceane
Oda
Ode
Odet
Odile
Odilia
Ofra
Olda
Olga
Oliva
Olivia
Oona
Oonah
Ophra
Otilia
Ottelien
Otteline
Ottoline
Oukje
Paarl
Pam
Pamela
Paradis
Parel
Paris
Pascale
Patrice
Paula
Pauleen
Paulien
Paulies
Pearl
Pebble
Pebbles
Peggy
Pemme
Pennie
Penélope
Pepita
Pepper
Phebe
Phemi
Phileine
Phine
Pia
Pieke
Pien
Pier
Pieta
Pieternel
Pietje
Pietsje
Pink
Pip
Pippa
Pixie
Pleun
Pleuni
Pleunie
Pleuntje
Plien
Polly
Poppy
Presley
Primrose
Puck
Puk
Qianne
Qiara
Qiyara
Qiëlle
Queenie
Querida
Questa
Quinta
Quintijn
Quinty
Quirijn
Quirine
Quita
Quérine
Rachel
Rana
Raquel
Rebecca
Reina
Remy
Rena
Renate
Renske
Resi
Rhodé
Rhona
Rianne
Richelle
Richtje
Riemke
Rieneke
Rientje
Riet
Rifka
Rifke
Rina
Rineke
Rinoa
Rinske
Rita
Robby
Robijn
Robin
Robyn
Roelfke
Roelie
Roelien
Roelinde
Roeline
Rohdé
Rolien
Romijn
Romy
Romée
Roos
Roosje
Roosmarieke
Roosmarijn
Rori
Rosa
Rosalie
Rosan
Rose
Rosea
Rosei
Roselien
Rosemarije
Rosemarijn
Rosemijn
Rosy
Rox
Roxanne
Rozei
Rozemarijn
Rozemijn
Ruby
Ruta
Réva
Saar
Saartje
Sabien
Sacha
Sadie
Sadé
Sallie
Sally
Salome
Sam
Samantha
Sammy
Sanna
Sanne
Sanne-Fleur
Sanne-Lynn
Sanneke
Sara
Sarah
Sarah-Jane
Sarah-Sue
Sasja
Sasse
Savannah
Scarlett
Scotty
Selah
Selma
Selwyn
Semmie
Senna
Senne
Seya
Shadé
Shae-Lee
Shanti
Shauni
Shea
Sheila
Shirin
Shirley
Sibel
Sibelle
Sibrich
Sien
Sienna
Sientje
Sifra
Signe
Sigrid
Sija
Silke
Silvana
Silvie
Simone
Simonetta
Sina
Siona
Siske
Sissi
Sita
Sjaan
Sjoke
Sjoukje
Sjuul
Sjuulke
Snoes
Soete
Sofie
Sofieke
Sofietje
Solane
Solange
Solen
Somer
Soof
Sophie
Sophieke
Soraya
Spencer
Spring
Stans
Starlet
Stefanie
Steffie
Stella
Sterre
Stien
Stientje
Stijnie
Stijntje
Stine
Sue
Sue-Ann
Summer
Sun
Susan
Suus
Suusje
Suzanne
Suze
Suzette
Suzy
Swaan
Swaentje
Syenne
Sylke
Sylvi
Sylvie
Syne
Synthy
Syta
Tabitha
Talitha
Tamar
Tamara
Tammy
Tanneke
Tara
Tarva
Taryn
Teddy
Teile
Teresa
Terri
Tess
Tessa
Tessel
Teunie
Teunieke
Teuntje
Thalise
Thaxa
Thea
Thijn
Thya
Thyrza
Tia
Tiara
Tiemke
Tiki
Tilde
Tina
Tine
Tineke
Tirza
Tischka
Titia
Tiya
To
Toma
Tomika
Toos
Trees
Trienke
Trijntje
Trix
Trixie
Trudi
Trui
Trynke
Tyra
Ubele
Udine
Ukje
Ulla
Ursa
Ursela
Ursina
Ursula
Utske
Uzuri
Vai
Valeia
Valencia
Valentina
Valerie
Vanessa
Varsha
Veerle
Velité
Venne
Vera
Vere
Verena
Verle
Veroniek
Veronique
Vicky
VictoriaVivienneVickie
Vida
Vieve
Vikki
Vinthe
Viola
Virginia
Vivi
Vivian
Vivianne
Vivy
Vlinder
Volente
Vonne
Vronie
Wanda
Waylinn
Weia
Welmoed
Wencke
Wende
Wendela
Wendelien
Wendy
Wenthe
Wenxi
Wesselien
Wia
Wibbrichje
Wibeke
Wica
Widia
Wieke
Wieneke
Wiep
Wies
Wiesje
Wieske
Wiet
Wieteke
Wietse
Wijnanda
Willa
Willeke
Willemein
Willemieke
Willemien
Willemijn
Willow
Wilna
Wimke
Winnie
Wira
Wiska
Wouke
Wren
Wytske
Xaja
Xandi
Xandra
Xanou
Xanthe
Xanti
Xantippe
Xari
Xavi
Xaviera
Xavy
Xeleste
Xemme
Xena
Xeni
Xenia
Xenne
Xevera
Xi-Anne
Xia
Xilla
Xixi
Xophia
Xummer
Xyza
Yael
Yara
Yasmijn
Yasmine
Ybeltje
Yda
Yeh
Yenne
Yentl
Yfke
Yin
Yinte/Yinthe
Yitte
Yiyi
Yke
Yldou
Ylonka
Ylva
Yma
Ymke
Yoa
Yohanna
Yohna
Yoia
Yoka
Yolanthe
Yolein
Yolenthe
Yolet
Yora
Youna
Yovanka
Yoyo
Yoëlla
Yris
Yrsa
Ysabel
Yuli
Yuna
Yvanca
Yvette
Yvon
Zanea
Zanee
Zanna
Zara
ZarahZalinde
Zaviera
Zaza
Zazi
Zazie
Zazou
Zeia
Zela
Zesla
Zeva
Zina
Zinnia
Zinzi
Zita
Zoey
Zoleste
Zon
Zona
Zonne
Zophie
Zora
Zoraya
Zosha
Zowy
ZsaZsa
Zsuzsu
Zus
Zusa
Zuse
Zuzanna
Zwaan
Zwaantje
Zwanet
Zyna
Zyra
Zyva
Zé
Zélia
Zélie
Zéressa
Zézette
Zöe
